fips,pop
17175,5946
17177,46959
17179,135949
17181,17647
17183,80727
17185,11727
17187,17731
17189,14598
17191,16574
17193,14568
17195,57846
17197,682518
17199,66674
17201,292069
17203,38971
18001,34365
18003,360412
18005,79129
18007,8804
18009,12502
18011,58944
18013,15083
18015,20095
18017,38581
18019,111951
18021,26837
18023,33022
18025,10665
18027,32064
18029,49831
18031,26042
18033,42321
18035,117364
18037,42071
18039,199619
18041,24029
18043,75283
18045,17119
18047,22969
18049,20737
18051,33458
18053,69330
18055,32940
18057,289495
18059,70933
18061,39134
18063,150434
18065,49345
18067,82849
18069,36987
18071,43083
18073,33456
18075,21366
18077,32554
18079,28161
18081,143191
18083,38122
18085,77609
18087,37521
18089,493618
18091,111246
18093,46078
18095,130348
18097,918977
18099,47024
18101,10260
18103,36486
18105,141019
18107,38254
18109,69356
18111,14044
18113,47582
18115,6079
18117,19690
18119,21380
18121,17069
18123,19462
18125,12766
18127,165682
18129,25599
18131,13124
18133,37750
18135,25815
18137,28583
18139,17095
18141,266344
18143,23791
18145,44471
18147,20837
18149,23213
18151,34124
18153,21188
18155,10424
18157,177513
18159,15695
18161,7362
18163,180858
18165,16040
18167,108428
18169,32361
18171,8342
18173,60463
18175,27921
18177,68346
18179,27652
18181,24426
18183,33342
19001,7481
19003,3911
19005,14237
19007,12700
19009,5910
19011,25827
19013,131820
19015,26195
19017,24479
19019,20942
19021,20592
19023,14986
19025,9909
19027,20631
19029,13723
19031,18416
19033,43788
19035,11946
19037,12276
19039,9370
19041,16599
19043,17835
19045,48717
19047,17309
19049,71967
19051,8689
19053,8253
19055,17574
19057,40340
19059,16972
19061,95097
19063,10120
19065,20793
19067,16056
19069,10554
19071,7147
19073,9153
19075,12448
19077,10777
19079,15344
19081,11134
19083,17302
19085,14548
19087,20236
19089,9563
19091,9729
19093,7108
19095,16189
19097,19712
19099,36602
19101,16867
19103,136317
19105,20639
19107,10374
19109,15346
19111,35617
19113,215295
19115,11278
19117,8760
19119,11757
19121,15654
19123,22443
19125,33419
19127,40857
19129,14837
19131,10725
19133,9124
19135,8063
19137,10566
19139,42879
19141,14172
19143,6193
19145,15713
19147,9275
19149,24907
19151,7150
19153,443710
19155,92913
19157,18736
19159,5096
19161,10153
19163,168799
19165,12069
19167,34268
19169,91140
19171,17536
19173,6208
19175,12594
19177,7449
19179,35366
19181,46891
19183,21914
19185,6344
19187,37273
19189,10600
19191,21061
19193,102323
19195,7519
19197,12991
20001,13319
20003,7917
20005,16813
20007,4861
20009,27557
20011,14897
20013,9881
20015,65827
20017,2757
20019,3571
20021,21226
20023,2678
20025,2181
20027,8531
20029,9397
20031,8502
20033,1913
20035,36288
20037,39361
20039,2871
20041,19762
20043,7864
20045,112864
20047,2979
20049,2720
20051,29053
20053,6494
20055,37200
20057,34752
20059,25906
20061,38013
20063,2729
20065,2578
20067,7923
20069,6030
20071,1298
20073,6454
20075,2639
20077,5911
20079,34852
20081,4256
20083,1963
20085,13449
20087,18945
20089,3046
20091,559913
20093,3968
20095,7863
20097,2496
20099,21284
20101,1704
20103,77739
20105,3174
20107,9441
20109,2784
20111,33748
20113,29356
20115,12347
20117,10022
20119,4396
20121,32612
20123,6355
20125,34459
20127,5854
20129,3169
20131,10132
20133,16406
20135,3068
20137,5612
20139,16142
20141,3806
20143,6072
20145,6928
20147,5519
20149,22302
20151,9728
20153,2560
20155,64438
20157,4858
20159,9985
20161,75508
20163,5223
20165,3220
20167,6946
20169,55988
20171,4937
20173,503889
20175,23547
20177,178991
20179,2538
20181,6113
20183,3765
20185,4358
20187,2175
20189,5756
20191,23674
20193,7941
20195,2986
20197,7039
20199,1517
20201,5758
20203,2256
20205,9105
20207,3278
20209,159129
21001,18675
21003,20210
21005,21728
21007,8333
21009,42631
21011,11802
21013,28183
21015,123316
21017,19978
21019,49164
21021,28658
21023,8494
21025,13635
21027,20071
21029,75896
21031,12840
21033,12935
21035,37655
21037,90908
21039,5034
21041,10900
21043,27348
21045,16082
21047,75427
21049,35787
21051,21556
21053,10285
21055,9280
21057,6819
21059,97847
21061,12071
21063,7780
21065,14493
21067,305489
21069,14560
21071,38949
21073,49804
21075,6525
21077,8479
21079,16913
21081,24485
21083,37544
21085,25964
21087,11315
21089,36707
21091,8677
21093,107025
21095,28543
21097,18624
21099,18366
21101,46513
21103,15318
21105,4754
21107,46718
21109,13331
21111,750828
21113,49635
21115,23383
21117,161711
21119,16124
21121,31735
21123,14151
21125,59462
21127,15848
21129,7706
21131,11170
21133,23952
21135,13835
21137,24461
21139,9423
21141,26646
21143,8351
21145,65549
21147,18069
21149,9506
21151,84786
21153,13041
21155,20090
21157,31344
21159,12743
21161,17512
21163,29237
21165,6220
21167,21261
21169,9969
21171,10821
21173,26902
21175,13668
21177,31181
21179,44319
21181,7000
21183,24075
21185,61412
21187,10765
21189,4722
21191,14604
21193,28241
21195,64178
21197,12483
21199,63593
21201,2188
21203,17006
21205,23447
21207,17497
21209,49057
21211,43614
21213,17538
21215,17416
21217,24691
21219,12651
21221,14447
21223,8787
21225,14850
21227,117110
21229,11833
21231,20824
21233,13583
21235,35499
21237,7164
21239,25077
22001,61912
22003,25539
22005,112286
22007,23026
22009,41632
22011,36281
22013,14076
22015,122197
22017,257093
22019,194493
22021,10004
22023,6702
22025,10292
22027,16828
22029,20365
22031,26963
22033,444526
22035,7526
22037,20008
22039,33710
22041,20561
22043,22068
22045,73999
22047,33228
22049,16216
22051,433676
22053,31432
22055,227055
22057,97029
22059,14927
22061,46953
22063,131942
22065,12154
22067,27559
22069,39436
22071,369250
22073,155363
22075,23921
22077,22726
22079,132373
22081,8983
22083,20921
22085,24325
22087,41635
22089,52681
22091,11071
22093,21722
22095,44758
22097,83662
22099,52726
22101,53697
22103,239453
22105,123441
22107,4954
22109,111893
22111,22419
22113,58723
22115,53869
22117,46670
22119,40940
22121,24106
22123,11512
22125,15405
22127,15000
23001,107609
23003,70868
23005,283921
23007,30630
23009,54558
23011,121853
23013,39668
23015,34180
23017,57481
23019,153746
23021,17290
23023,35191
23025,51910
23027,38820
23029,32462
23031,199005
24001,74012
24003,550488
24005,817455
24009,89628
24011,32718
24013,167217
24015,101696
24017,150592
24019,32551
24021,239582
24023,29854
24025,248622
24027,299430
24029,20191
24031,1004709
24033,881138
24035,48595
24037,108987
24039,26253
24041,38098
24043,149180
24045,100647
24047,51578
24510,621342
25001,215423
25003,130016
25005,551082
25007,17041
25009,755618
25011,71540
25013,465923
25015,159795
25017,1537215
25019,10298
25021,681845
25023,499759
25025,744426
25027,806163
26001,10635
26003,9541
26005,112039
26007,29234
26009,23406
26011,15477
26013,8683
26015,58990
26017,106935
26019,17465
26021,156067
26023,43868
26025,135099
26027,52242
26029,26023
26031,25835
26033,38917
26035,30753
26037,76001
26039,14009
26041,36884
26043,26220
26045,108008
26047,32915
26049,418408
26051,25484
26053,16084
26055,89112
26057,42063
26059,46229
26061,36520
26063,32463
26065,281723
26067,63941
26069,25357
26071,11587
26073,70617
26075,160309
26077,254580
26079,17099
26081,614462
26083,2215
26085,11498
26087,88173
26089,21607
26091,98987
26093,182838
26095,6522
26097,11137
26099,847383
26101,24672
26103,67906
26105,28680
26107,43318
26109,23815
26111,83822
26113,15031
26115,151048
26117,63097
26119,9476
26121,170182
26123,47959
26125,1220657
26127,26310
26129,21437
26131,6413
26133,23276
26135,8592
26137,24020
26139,269099
26141,13129
26143,24106
26145,198353
26147,160644
26149,60796
26151,42268
26153,8343
26155,69232
26157,54662
26159,75454
26161,350946
26163,1792365
26165,32608
27001,15927
27003,336414
27005,33000
27007,45375
27009,38865
27011,5164
27013,65091
27015,25425
27017,35348
27019,93707
27021,28357
27023,12135
27025,53452
27027,60155
27029,8703
27031,5185
27033,11597
27035,62882
27037,405088
27039,20231
27041,36415
27043,14263
27045,20834
27047,31054
27049,46336
27051,5944
27053,1184576
27055,18837
27057,20347
27059,38248
27061,45221
27063,10281
27065,16005
27067,42379
27069,4493
27071,13208
27073,7109
27075,10818
27077,3973
27079,27677
27081,5818
27083,25543
27085,36053
27087,5536
27089,9449
27091,20475
27093,23061
27095,25740
27097,33052
27099,39372
27101,8577
27103,32929
27105,21487
27107,6634
27109,147066
27111,57288
27113,14074
27115,29218
27117,9345
27119,31416
27121,10892
27123,520152
27125,4087
27127,15847
27129,15369
27131,64854
27133,9553
27135,15476
27137,200319
27139,135152
27141,89455
27143,15123
27145,151606
27147,36322
27149,9663
27151,9594
27153,24509
27155,3451
27157,21476
27159,13767
27161,19237
27163,244088
27165,11187
27167,6585
27169,51629
27171,127336
27173,10158
28001,32122
28003,37164
28005,12957
28007,19157
28009,8730
28011,33904
28013,14843
28015,10423
28017,17416
28019,8346
28021,9349
28023,16556
28025,20427
28027,25709
28029,28955
28031,19607
28033,166234
28035,76894
28037,7918
28039,22930
28041,14311
28043,21682
28045,45255
28047,194029
28049,248643
28051,18796
28053,9189
28055,1386
28057,23340
28059,140298
28061,16523
28063,7638
28065,12032
28067,68641
28069,10335
28071,49495
28073,57786
28075,80220
28077,12551
28079,23297
28081,85042
28083,30948
28085,34900
28087,59670
28089,98468
28091,26442
28093,36612
28095,36421
28097,10614
28099,29785
28101,21601
28103,11218
28105,48192
28107,34473
28109,55295
28111,12086
28113,40100
28115,30594
28117,25390
28119,7798
28121,145165
28123,28250
28125,4799
